cell,x,y,Ash,Basswood,Beech,Birch,Cedar.juniper,Cherry,Elm,Fir,Hemlock,Hickory,Maple,Oak,Other.hardwoods,Pine,Poplar,Spruce,Tamarack,Tulip.poplar,Walnut,Total
2084,21000,1438000,0.377439362,0,0,0,0,0,0.092842011,0.094641599,0,0,0.360546001,1.340278366,0,0,1.296833268,0.139633096,0.117402372,0,0,2.075063837
2085,29000,1438000,0.349987677,0,0,0,0,0,0.080342904,0.094301719,0,0,0.291301035,1.16173954,0,0,1.21558981,0.142130085,0.120087442,0,0,1.921799013
2087,45000,1438000,0.33007919,0,0,0.084240983,0,0,0.062164807,0.098219962,0,0,0.202610359,0.898747384,0,0,1.101584447,0.152452489,0.132683408,0,0,1.64724277
2091,77000,1438000,0.349199213,0,0,0.112766639,0.233106997,0,0.040183736,0.120525448,0,0,0.124951902,0.500389353,0,0,0.969272996,0.199336824,0.196385605,0,0,1.324715286
2095,109000,1438000,0.322859832,0,0,0.152712658,0.439057069,0,0.027115553,0.153438815,0,0,0.086852267,0.20851724,0,0.591531255,0.912428385,0.258473003,0.308518397,0,0,1.261673726
2096,117000,1438000,0.316573943,0,0,0.156413256,0.501103404,0,0.024684711,0.158147619,0,0,0.080794392,0.167121152,0,0.626522664,0.897670691,0.269339924,0.330211711,0,0,1.269016275
2098,133000,1438000,0.341562929,0,0,0.160141599,0.672190349,0,0.021137435,0.166980333,0,0,0.0747325,0.123737966,0,0.63040869,0.920182877,0.302004059,0.379167369,0,0,1.296600837
2100,149000,1438000,0.429369507,0,0,0.163721756,1.003545582,0,0.018869854,0.180536886,0,0,0.074472406,0.107726009,0,0.601659161,1.028166273,0.367749026,0.465537673,0,0,1.329993526
2379,13000,1430000,0.408692127,0,0,0,0,0,0.114893923,0.088273492,0,0,0.472723985,1.633288631,0,0,1.365887395,0.127142091,0.104231483,0,0,2.127500427
2380,21000,1430000,0.363696197,0,0,0,0,0,0.098218954,0.087419661,0,0,0.375602941,1.409867142,0,0,1.268618255,0.127984333,0.104783392,0,0,1.973376753
2381,29000,1430000,0.332045006,0,0,0.076533514,0,0,0.084689804,0.087215289,0,0,0.300361506,1.230042994,0,0,1.184502023,0.130118861,0.106768512,0,0,1.824043042
2382,37000,1430000,0.316158228,0,0,0.077956565,0,0,0.073940652,0.088507399,0,0,0.245223183,1.093904438,0,0,1.122618391,0.134082943,0.111222164,0,0,1.685097368
2383,45000,1430000,0.309824923,0,0,0.080070269,0,0,0.064993408,0.091102546,0,0,0.204337778,0.961994116,0,0,1.070989598,0.139341565,0.11745414,0,0,1.561303945
2385,61000,1430000,0.329364961,0,0,0.090882473,0.153185155,0,0.052255327,0.101402314,0,0,0.153697466,0.747689926,0,0,1.023954515,0.15757695,0.141081783,0,0,1.372118863
2386,69000,1430000,0.332187917,0,0,0.09866531,0.166310004,0,0.046601527,0.106877605,0,0,0.135980925,0.632435641,0,0,0.983606161,0.168471516,0.156429303,0,0,1.308754034
