"x","y","cell","avg_biomass_by_plot","count"
117000,1390000,3872,13.4153068881348,1
125000,1390000,3873,48.3010764845364,3
133000,1390000,3874,22.9676905178358,3
141000,1390000,3875,110.110031259778,2
149000,1390000,3876,38.7152266055153,3
157000,1390000,3877,57.7627138402983,1
165000,1390000,3878,61.2229552874224,3
173000,1390000,3879,NA,0
181000,1390000,3880,NA,0
189000,1390000,3881,4.59017815583944,1
197000,1390000,3882,27.2510016800478,3
205000,1390000,3883,62.8553963502427,2
213000,1390000,3884,61.5009116009976,3
221000,1390000,3885,NA,0
13000,1382000,4155,19.3799780242122,1
29000,1382000,4157,35.5274958664288,1
69000,1382000,4162,3.17386152026721,1
77000,1382000,4163,12.9822962693903,2
85000,1382000,4164,NA,0
93000,1382000,4165,15.598116431792,1
101000,1382000,4166,52.9345846669481,1
109000,1382000,4167,33.2554724324246,1
117000,1382000,4168,21.7792403340695,3
125000,1382000,4169,NA,0
133000,1382000,4170,25.5218758474119,4
141000,1382000,4171,12.4501926593489,1
149000,1382000,4172,39.3287462048321,1
157000,1382000,4173,25.3496964290901,4
165000,1382000,4174,66.5508815703569,2
173000,1382000,4175,7.22505384941774,1
181000,1382000,4176,62.6059366300498,3
189000,1382000,4177,16.8341303734636,2
197000,1382000,4178,93.1853724992109,4
205000,1382000,4179,NA,0
213000,1382000,4180,NA,0
221000,1382000,4181,20.8366264812223,1
229000,1382000,4182,11.8267326067742,1
245000,1382000,4184,47.1830883965092,2
253000,1382000,4185,55.431554435145,1
261000,1382000,4186,NA,0
277000,1382000,4188,16.1482307825463,1
285000,1382000,4189,17.9292596468219,1
-19000,1374000,4447,30.6213278053088,1
5000,1374000,4450,74.6059014013829,1
21000,1374000,4452,2.3582367820069,1
29000,1374000,4453,2.49613388469122,1
37000,1374000,4454,31.7697961559761,1
53000,1374000,4456,15.2414304514394,2
69000,1374000,4458,26.3937260718853,1
85000,1374000,4460,22.1791573342224,3
93000,1374000,4461,NA,0
101000,1374000,4462,33.2560052786409,1
109000,1374000,4463,4.27243555502283,2
117000,1374000,4464,39.8855694316371,2
125000,1374000,4465,12.7128394857529,2
133000,1374000,4466,13.3546767347068,1
141000,1374000,4467,53.5841308703364,3
149000,1374000,4468,44.1494568676141,2
157000,1374000,4469,NA,0
165000,1374000,4470,NA,0
173000,1374000,4471,2.34459401246355,1
181000,1374000,4472,17.3251674462696,1
189000,1374000,4473,12.0991648151953,1
197000,1374000,4474,79.6640374115431,4
205000,1374000,4475,43.8993296765896,3
213000,1374000,4476,111.91199664243,1
221000,1374000,4477,12.2715914889287,2
229000,1374000,4478,NA,0
