"STATECD","CN","x","y","cell"
27,221348868010661,109000,1414000,2983
27,108303937010661,109000,1414000,2983
27,15741812020004,117000,1414000,2984
27,242381763010661,117000,1414000,2984
27,108298723010661,117000,1414000,2984
27,221343004010661,125000,1414000,2985
27,15739129020004,125000,1414000,2985
27,108298714010661,125000,1414000,2985
27,15742097020004,133000,1414000,2986
27,169107409010661,133000,1414000,2986
27,169103917010661,133000,1414000,2986
27,108303673010661,133000,1414000,2986
27,15739009020004,141000,1414000,2987
27,221350040010661,141000,1414000,2987
27,242381684010661,141000,1414000,2987
27,242379302010661,141000,1414000,2987
27,108298450010661,141000,1414000,2987
27,242381685010661,141000,1414000,2987
27,169107169010661,149000,1414000,2988
27,15742095020004,149000,1414000,2988
27,242379404010661,149000,1414000,2988
27,169103705010661,157000,1414000,2989
27,221348626010661,157000,1414000,2989
27,242381573010661,157000,1414000,2989
27,108299377010661,37000,1406000,3270
27,15739280020004,37000,1406000,3270
27,242378986010661,37000,1406000,3270
27,221343376010661,45000,1406000,3271
27,169104531010661,45000,1406000,3271
27,221349174010661,53000,1406000,3272
27,169104411010661,61000,1406000,3273
27,15739354020004,69000,1406000,3274
27,108299218010661,69000,1406000,3274
27,108305666010661,77000,1406000,3275
27,15742050020004,77000,1406000,3275
27,221349680010661,85000,1406000,3276
27,15741759020004,85000,1406000,3276
27,221349036010661,93000,1406000,3277
27,169107651010661,101000,1406000,3278
27,169104253010661,101000,1406000,3278
27,242381767010661,101000,1406000,3278
27,15741757020004,101000,1406000,3278
27,242381764010661,109000,1406000,3279
27,242379177010661,109000,1406000,3279
27,15739156020004,109000,1406000,3279
27,108298726010661,109000,1406000,3279
27,221343762010661,117000,1406000,3280
27,169107419010661,117000,1406000,3280
27,242379270010661,117000,1406000,3280
27,169103921010661,125000,1406000,3281
27,221348640010661,125000,1406000,3281
27,15739437020004,125000,1406000,3281
27,108303940010661,125000,1406000,3281
27,108298456010661,125000,1406000,3281
27,108303685010661,133000,1406000,3282
27,15741735020004,133000,1406000,3282
27,169107415010661,133000,1406000,3282
27,242379268010661,133000,1406000,3282
27,242381686010661,141000,1406000,3283
27,15742096020004,141000,1406000,3283
27,15739376020004,141000,1406000,3283
27,169107411010661,149000,1406000,3284
27,242379303010661,149000,1406000,3284
27,221348472010661,149000,1406000,3284
27,108298099010661,157000,1406000,3285
27,169103707010661,157000,1406000,3285
27,15741091020004,157000,1406000,3285
27,169107167010661,157000,1406000,3285
27,108303319010661,165000,1406000,3286
27,108298093010661,165000,1406000,3286
27,242379403010661,165000,1406000,3286
27,242381572010661,173000,1406000,3287
27,15741088020004,173000,1406000,3287
27,169107011010661,189000,1406000,3289
27,242379492010661,189000,1406000,3289
27,169108121010661,21000,1398000,3564
27,242381979010661,29000,1398000,3565
27,15742061020004,29000,1398000,3565
27,169108029010661,29000,1398000,3565
27,242381977010661,37000,1398000,3566
27,15739243020004,37000,1398000,3566
27,108299386010661,37000,1398000,3566
27,221349270010661,37000,1398000,3566
27,15742059020004,45000,1398000,3567
27,169108023010661,45000,1398000,3567
27,221343484010661,45000,1398000,3567
27,242378985010661,45000,1398000,3567
27,15739359020004,53000,1398000,3568
27,169104415010661,53000,1398000,3568
27,15742063020004,53000,1398000,3568
27,15739357020004,61000,1398000,3569
27,242381860010661,61000,1398000,3569
27,108299029010661,69000,1398000,3570
27,108299026010661,77000,1398000,3571
27,221343562010661,85000,1398000,3572
27,169104259010661,85000,1398000,3572
27,242382305010661,85000,1398000,3572
27,242381858010661,93000,1398000,3573
27,108299023010661,93000,1398000,3573
27,242379076010661,93000,1398000,3573
27,242379178010661,101000,1398000,3574
27,108303952010661,101000,1398000,3574
27,15741832020004,101000,1398000,3574
27,169107653010661,101000,1398000,3574
27,15739159020004,109000,1398000,3575
27,169104127010661,109000,1398000,3575
27,15741831020004,109000,1398000,3575
27,221348874010661,109000,1398000,3575
27,108298732010661,109000,1398000,3575
27,108303943010661,117000,1398000,3576
27,242382136010661,117000,1398000,3576
27,242379175010661,117000,1398000,3576
27,221343764010661,117000,1398000,3576
27,169103923010661,125000,1398000,3577
27,15741736020004,125000,1398000,3577
27,242381687010661,125000,1398000,3577
27,15739436020004,133000,1398000,3578
27,242379269010661,133000,1398000,3578
27,221348638010661,133000,1398000,3578
27,169107413010661,141000,1398000,3579
27,169103919010661,141000,1398000,3579
27,108298453010661,141000,1398000,3579
27,15741734020004,141000,1398000,3579
27,15739377020004,149000,1398000,3580
27,242382275010661,149000,1398000,3580
27,221348634010661,149000,1398000,3580
27,242379304010661,149000,1398000,3580
27,221343016010661,157000,1398000,3581
27,15741092020004,157000,1398000,3581
27,242379405010661,157000,1398000,3581
27,15741089020004,165000,1398000,3582
27,169103703010661,165000,1398000,3582
27,221348474010661,165000,1398000,3582
27,221343014010661,173000,1398000,3583
27,15740086020004,173000,1398000,3583
27,242379402010661,173000,1398000,3583
27,15742381020004,181000,1398000,3584
27,169103475010661,181000,1398000,3584
27,221344400010661,181000,1398000,3584
27,221348250010661,181000,1398000,3584
27,169108675010661,189000,1398000,3585
27,15740085020004,189000,1398000,3585
27,221348248010661,189000,1398000,3585
27,108303028010661,189000,1398000,3585
27,242381373010661,189000,1398000,3585
27,169104807010661,197000,1398000,3586
27,242379594010661,205000,1398000,3587
27,15741577020004,213000,1398000,3588
27,108299518010661,5000,1390000,3858
27,108304676010661,21000,1390000,3860
27,221343306010661,29000,1390000,3861
27,169104425010661,37000,1390000,3862
27,15742068020004,37000,1390000,3862
27,242379023010661,45000,1390000,3863
27,15742066020004,53000,1390000,3864
27,169104421010661,53000,1390000,3864
27,169107799010661,69000,1390000,3866
27,15739053020004,77000,1390000,3867
27,108304208010661,85000,1390000,3868
27,169107795010661,85000,1390000,3868
27,15741761020004,93000,1390000,3869
27,15739050020004,93000,1390000,3869
27,108303964010661,93000,1390000,3869
27,242379179010661,101000,1390000,3870
27,242381768010661,101000,1390000,3870
27,108303958010661,109000,1390000,3871
27,108303949010661,109000,1390000,3871
27,242379176010661,109000,1390000,3871
27,15741833020004,109000,1390000,3871
27,221343768010661,117000,1390000,3872
27,242381765010661,117000,1390000,3872
27,15739158020004,117000,1390000,3872
27,221348872010661,117000,1390000,3872
27,108299902010661,117000,1390000,3872
27,169107421010661,125000,1390000,3873
27,169103927010661,125000,1390000,3873
27,242379271010661,125000,1390000,3873
27,221343908010661,125000,1390000,3873
27,221348642010661,133000,1390000,3874
27,169107417010661,133000,1390000,3874
27,242381688010661,133000,1390000,3874
27,15742173020004,141000,1390000,3875
27,242379410010661,141000,1390000,3875
27,221343902010661,141000,1390000,3875
27,108303679010661,141000,1390000,3875
27,169107179010661,141000,1390000,3875
27,242381579010661,149000,1390000,3876
27,15739435020004,149000,1390000,3876
27,169103715010661,149000,1390000,3876
27,108298108010661,149000,1390000,3876
27,221348636010661,149000,1390000,3876
27,242381578010661,149000,1390000,3876
27,15741095020004,149000,1390000,3876
27,221344168010661,157000,1390000,3877
27,169107171010661,157000,1390000,3877
27,242381576010661,165000,1390000,3878
27,221348476010661,165000,1390000,3878
27,242379474010661,165000,1390000,3878
27,15739733020004,173000,1390000,3879
27,108297805010661,181000,1390000,3880
27,15742382020004,181000,1390000,3880
27,108297481010661,189000,1390000,3881
27,221350036010661,189000,1390000,3881
27,15738936020004,189000,1390000,3881
27,242379493010661,189000,1390000,3881
27,221344550010661,197000,1390000,3882
27,169106797010661,197000,1390000,3882
27,15739615020004,197000,1390000,3882
27,15741546020004,197000,1390000,3882
27,15741579020004,205000,1390000,3883
27,108297475010661,205000,1390000,3883
27,221348088010661,205000,1390000,3883
27,15739613020004,213000,1390000,3884
27,221348086010661,213000,1390000,3884
27,108302803010661,213000,1390000,3884
27,169108297010661,213000,1390000,3884
27,221344548010661,213000,1390000,3884
27,108302485010661,221000,1390000,3885
27,169103243010661,221000,1390000,3885
27,221343316010661,13000,1382000,4155
27,108299395010661,29000,1382000,4157
27,169108037010661,29000,1382000,4157
27,242379083010661,69000,1382000,4162
27,242382142010661,77000,1382000,4163
27,169104269010661,77000,1382000,4163
27,108304214010661,85000,1382000,4164
27,15741762020004,93000,1382000,4165
27,221343778010661,93000,1382000,4165
27,169104263010661,93000,1382000,4165
27,108298738010661,101000,1382000,4166
27,221348880010661,101000,1382000,4166
27,221343774010661,109000,1382000,4167
27,15739443020004,109000,1382000,4167
27,221348652010661,117000,1382000,4168
27,169103931010661,117000,1382000,4168
27,15741740020004,117000,1382000,4168
27,108298729010661,117000,1382000,4168
27,15739439020004,125000,1382000,4169
27,15741737020004,133000,1382000,4170
27,221344176010661,133000,1382000,4170
27,221348644010661,133000,1382000,4170
27,108298462010661,133000,1382000,4170
27,242381689010661,133000,1382000,4170
27,15739698020004,141000,1382000,4171
27,221348480010661,141000,1382000,4171
27,108303334010661,141000,1382000,4171
27,169107423010661,141000,1382000,4171
27,221343018010661,149000,1382000,4172
27,15741096020004,149000,1382000,4172
27,108298114010661,149000,1382000,4172
27,108305030010661,149000,1382000,4172
27,169103711010661,157000,1382000,4173
27,242379406010661,157000,1382000,4173
27,15739809020004,157000,1382000,4173
27,221348478010661,157000,1382000,4173
27,108298105010661,157000,1382000,4173
27,169107173010661,165000,1382000,4174
27,242379407010661,165000,1382000,4174
27,15741093020004,165000,1382000,4174
27,221344170010661,165000,1382000,4174
27,15741548020004,173000,1382000,4175
27,15739734020004,173000,1382000,4175
27,169103483010661,173000,1382000,4175
27,242379494010661,181000,1382000,4176
27,15739732020004,181000,1382000,4176
27,108303040010661,181000,1382000,4176
27,221348252010661,181000,1382000,4176
27,15741547020004,189000,1382000,4177
27,169103479010661,189000,1382000,4177
27,242381479010661,189000,1382000,4177
27,221344404010661,189000,1382000,4177
27,242381372010661,197000,1382000,4178
27,242379595010661,197000,1382000,4178
27,108303034010661,197000,1382000,4178
27,15739616020004,197000,1382000,4178
27,221348090010661,197000,1382000,4178
27,169106803010661,197000,1382000,4178
27,108297478010661,205000,1382000,4179
27,242379593010661,205000,1382000,4179
27,169103247010661,205000,1382000,4179
27,242381370010661,213000,1382000,4180
27,221349926010661,213000,1382000,4180
27,108302491010661,221000,1382000,4181
27,221344752010661,221000,1382000,4181
27,15742265020004,221000,1382000,4181
27,221349526010661,229000,1382000,4182
27,169102856010661,245000,1382000,4184
27,169106393010661,245000,1382000,4184
27,108302233010661,253000,1382000,4185
27,15739969020004,253000,1382000,4185
27,221345144010661,261000,1382000,4186
27,221345140010661,277000,1382000,4188
27,108301918010661,277000,1382000,4188
27,15740074020004,285000,1382000,4189
27,15739199020004,-19000,1374000,4447
27,15742082020004,5000,1374000,4450
27,221343314010661,21000,1374000,4452
27,169104541010661,29000,1374000,4453
27,15742076020004,37000,1374000,4454
27,169107943010661,53000,1374000,4456
27,15739362020004,53000,1374000,4456
27,221349052010661,69000,1374000,4458
27,169104137010661,85000,1374000,4460
27,242381773010661,85000,1374000,4460
27,242381862010661,85000,1374000,4460
27,15739167020004,85000,1374000,4460
27,108303970010661,93000,1374000,4461
27,169104135010661,101000,1374000,4462
27,15739165020004,101000,1374000,4462
27,15741835020004,101000,1374000,4462
27,221349980010661,109000,1374000,4463
27,169107429010661,109000,1374000,4463
27,242378802010661,117000,1374000,4464
